directors,popularity,stars,title,writers
Sidney Lumet,"
                    430
      (","
        ,
,, ,, ,            ,
, »
    ","12 Angry Men ,            ","
        ,
, (story), , (screenplay)    "
Sergio Leone,"
                    521
      (","
        ,
,, ,, ,            ,
, »
    ","The Good, the Bad and the Ugly ,            ","
        ,
, (story), , (story)            ,
, »
    "
Frank Darabont,"
                    70
      (","
        ,
,, ,, ,            ,
, »
    ","The Shawshank Redemption ,            ","
        ,
, (short story ""Rita Hayworth and Shawshank Redemption""), , (screenplay)    "
Quentin Tarantino,"
                    117
      (","
        ,
,, ,, ,            ,
, »
    ","Pulp Fiction ,            ","
        ,
, (stories), , (stories)            ,
, »
    "
Francis Ford Coppola,"
                    341
      (","
        ,
,, ,, ,            ,
, »
    ","The Godfather: Part II ,            ","
        ,
, (screenplay by), , (screenplay by)            ,
, »
    "
Francis Ford Coppola,"
                    78
      (","
        ,
,, ,, ,            ,
, »
    ","The Godfather ,            ","
        ,
, (screenplay by), , (screenplay by)            ,
, »
    "
Christopher Nolan,"
                    79
      (","
        ,
,, ,, ,            ,
, »
    ","The Dark Knight ,            ","
        ,
, (screenplay), , (screenplay)            ,
, »
    "
Robert Zemeckis,"
                    185
      (","
        ,
,, ,, ,            ,
, »
    ","Forrest Gump ,            ","
        ,
, (novel), , (screenplay)    "
Peter Jackson,"
                    264
      (","
        ,
,, ,, ,            ,
, »
    ","The Lord of the Rings: The Return of the King ,            ","
        ,
, (novel), , (screenplay)            ,
, »
    "
Steven Spielberg,"
                    220
      (","
        ,
,, ,, ,            ,
, »
    ","Schindler's List ,            ","
        ,
, (book), , (screenplay)    "
Christopher Nolan,"
                    114
      (","
        ,
,, ,, ,            ,
, »
    ","Inception ,            ","
        ,
,    "
David Fincher,"
                    165
      (","
        ,
,, ,, ,            ,
, »
    ","Fight Club ,            ","
        ,
, (novel), , (screenplay)    "
Martin Scorsese,"
                    134
      (","
        ,
,, ,, ,            ,
, »
    ","Goodfellas ,            ","
        ,
, (book), , (screenplay)            ,
, »
    "
Peter Jackson,"
                    127
      (","
        ,
,, ,, ,            ,
, »
    ","The Lord of the Rings: The Fellowship of the Ring ,            ","
        ,
, (novel), , (screenplay)            ,
, »
    "
"Lana Wachowski,Lilly Wachowski","
                    143
      (","
        ,
,, ,, ,            ,
, »
    ","The Matrix ,            ","
        ,
, (as The Wachowski Brothers), , (as The Wachowski Brothers)    "
Peter Jackson,"
                    456
      (","
        ,
,, ,, ,            ,
, »
    ","The Lord of the Rings: The Two Towers ,            ","
        ,
, (novel), , (screenplay)            ,
, »
    "
"Hideaki Anno,Kazuya Tsurumaki",,"
        ,
,, ,, ,            ,
, »
    ","Neon Genesis Evangelion: The End of Evangelion ,            ","
        ,
, (screenplay)    "
Harold Ramis,"
                    770
      (","
        ,
,, ,, ,            ,
, »
    ","Groundhog Day ,            ","
        ,
, (screenplay), , (screenplay)            ,
, »
    "
Oriol Paulo,,"
        ,
,, ,, ,            ,
, »
    ","The Invisible Guest ,            ","
        ,
,    "
Rajkumar Hirani,,"
        ,
,, ,, ,            ,
, »
    ","PK ,            ","
        ,
,, ,    "
James Gunn,"
                    179
      (","
        ,
,, ,, ,            ,
, »
    ","Guardians of the Galaxy ,            ","
        ,
,, ,            ,
, »
    "
Ashutosh Gowariker,,"
        ,
,, ,, ,            ,
, »
    ","Swades ,            ","
        ,
, (story), , (story)            ,
, »
    "
"Ron Clements,John Musker","
                    793
      (","
        ,
,, ,, ,            ,
, »
    ","Aladdin ,            ","
        ,
, (screenplay by), , (screenplay by)            ,
, »
    "
Wim Wenders,"
                    2,840
      (","
        ,
,, ,, ,            ,
, »
    ","Paris, Texas ,            ","
        ,
, (adaptation), ,            ,
, »
    "
Katsuhiro Ôtomo,,"
        ,
,, ,, ,            ,
, »
    ","Akira ,            ","
        ,
, (screenplay), , (screenplay)            ,
, »
    "
George Roy Hill,"
                    2,434
      (","
        ,
,, ,, ,            ,
, »
    ","Butch Cassidy and the Sundance Kid ,            ","
        ,
,    "
James Cameron,"
                    343
      (","
        ,
,, ,, ,            ,
, »
    ","The Terminator ,            ","
        ,
,, ,            ,
, »
    "
Anurag Kashyap,"
                    3,449
      (","
        ,
,, ,, ,            ,
, »
    ","Gangs of Wasseypur ,            ","
        ,
,, ,            ,
, »
    "
Ashutosh Gowariker,,"
        ,
,, ,, ,            ,
, »
    ","Lagaan: Once Upon a Time in India ,            ","
        ,
, (story), , (screenplay)            ,
, »
    "
Tate Taylor,"
                    392
      (","
        ,
,, ,, ,            ,
, »
    ","The Help ,            ","
        ,
, (screenplay), , (novel)    "
Richard Linklater,"
                    2,385
      (","
        ,
,, ,, ,            ,
, »
    ","Before Sunset ,            ","
        ,
, (screenplay), , (screenplay)            ,
, »
    "
Kar-Wai Wong,"
                    1,648
      (","
        ,
,, ,, ,            ,
, »
    ","In the Mood for Love ,            ","
        ,
, (as Kar Wai Wong)    "
,,,"White Heat ,            ",
Billy Wilder,"
                    3,467
      (","
        ,
,, ,, ,            ,
, »
    ","Ace in the Hole ,            ","
        ,
,, ,            ,
, »
    "
